3;Refri Fanta 350ml;8.9;30;C:\Users\jueel\IdeaProjects\CineManage\cinemanagerfx\src\main\resources\br\ufrpe\cine_rural\gui\ImagensProduto\RefriFanta.jpg
5;Guaraná 350ml;22.89;34;C:\Users\jueel\IdeaProjects\CineManage\cinemanagerfx\src\main\resources\br\ufrpe\cine_rural\gui\ImagensProduto\Guarana.jpg
4;Refri Coca 500ml;9.75;34;C:\Users\jueel\IdeaProjects\CineManage\cinemanagerfx\src\main\resources\br\ufrpe\cine_rural\gui\ImagensProduto\RefriCoca.jpg
1;Pipoca G;34.7;32;C:\Users\jueel\IdeaProjects\CineManage\cinemanagerfx\src\main\resources\br\ufrpe\cine_rural\gui\ImagensProduto\Pipoca2.jpg
6;Hershey's;13.9;50;C:\Users\jueel\IdeaProjects\CineManage\cinemanagerfx\src\main\resources\br\ufrpe\cine_rural\gui\ImagensProduto\Hersheys.jpg
7;Refri Coca 1L;10.5;2;C:\Users\jueel\IdeaProjects\CineManage\cinemanagerfx\src\main\resources\br\ufrpe\cine_rural\gui\ImagensProduto\RefriCoca.jpg
8;Refri Coca 350ml;5.9;10;C:\Users\jueel\IdeaProjects\CineManage\cinemanagerfx\src\main\resources\br\ufrpe\cine_rural\gui\ImagensProduto\RefriCoca.jpg
9;Refri Fanta 500ml;10.5;56;C:\Users\jueel\IdeaProjects\CineManage\cinemanagerfx\src\main\resources\br\ufrpe\cine_rural\gui\ImagensProduto\RefriFanta.jpg
10;Refri Fanta 1L;12.75;12;C:\Users\jueel\IdeaProjects\CineManage\cinemanagerfx\src\main\resources\br\ufrpe\cine_rural\gui\ImagensProduto\RefriFanta.jpg
11;Guaraná 500ml;10.5;12;C:\Users\jueel\IdeaProjects\CineManage\cinemanagerfx\src\main\resources\br\ufrpe\cine_rural\gui\ImagensProduto\Guarana.jpg
12;Guaraná 1L;12.75;22;C:\Users\jueel\IdeaProjects\CineManage\cinemanagerfx\src\main\resources\br\ufrpe\cine_rural\gui\ImagensProduto\Guarana.jpg
13;Combo 1;25.5;22;C:\Users\jueel\IdeaProjects\CineManage\cinemanagerfx\src\main\resources\br\ufrpe\cine_rural\gui\ImagensProduto\Combo1.jpg
